NAME,MSINI,MASS,A,PER,PLANETDISCMETH
Kepler-355 c,,0.0223552,0.170712,25.762294,Transit
WASP-141 b,2.68416,2.68652,0.0468614,3.310651,Transit
Kepler-1472 b,,0.014034,0.232959,38.1312831,Transit
Kepler-1135 b,,0.0136174,0.3493,76.957857,Transit
K2-4 b,,0.0176679,0.0778907,10.00342,Transit
Kepler-375 c,,0.0215411,0.144132,19.986326,Transit
Kepler-1209 b,,0.0121297,0.181042,25.369115999999998,Transit
WASP-81 b,0.728774,0.728964,0.0391001,2.7164762,Transit
Kepler-1019 b,,0.0107116,0.0218627,1.41122985,Transit
Kepler-484 b,,0.0172355,0.0898835,10.04556931,Transit
Kepler-137 b,,0.0110268,0.0811044,8.436387,Transit
Kepler-85 d,,0.00554835,0.133985,17.91323,Transit
Kepler-1456 b,,0.00468851,0.116426,18.1373829,Transit
K2-141 c,0,0,0.0683014,7.7485,Transit
Kepler-224 c,,0.0290307,0.0640814,5.925003,Transit
GJ 3341 b,0.0208212,0.0208212,0.0892579,14.207,RV
Kepler-1290 b,,0.00991268,0.0539434,4.69500134,Transit
Kepler-962 b,,0.0145548,0.100445,12.05707239,Transit
WASP-22 b,0.559004,0.559059,0.0468682,3.53269,Transit
K2-35 c,,0.0159354,0.056382,5.60912,Transit
Kepler-468 b,,1,0.220045,38.47875707,Transit
Kepler-640 b,,0.0203354,0.155326,22.24813967,Transit
Kepler-503 b,,0.145002,0.073611,7.25844721,Transit
WASP-2 b,0.904818,0.908659,0.0312729,2.1522254,Transit
Kepler-392 b,,0.00291583,0.0598046,5.341853,Transit
Kepler-247 c,,0.0548224,0.087412,9.439452,Transit
Kepler-1076 b,,0.00129651,0.0607115,6.14727918,Transit
HD 164922 b,0.357927,0.357927,2.10091,1155,RV
Kepler-271 b,,0.00192504,0.0588746,5.217738,Transit
Kepler-30 c,,2.01385,0.300013,60.3231,Transit
Kepler-190 c,,0.0107805,0.0473476,3.763024,Transit
tau Gru b,1.2147,1.2147,2.51797,1311,RV
WASP-34 b,0.581308,0.583354,0.0520747,4.3176782,Transit
Kepler-397 c,,0.100676,0.516293,135.498527,Transit
HD 96063 b,1.14167,1.14167,1.11312,361.1,RV
Kepler-490 b,,1,0.0442246,3.26869515,Transit
HAT-P-53 b,1.48354,1.4868,0.0316042,1.9616241,Transit
Kepler-1466 b,,0.0115843,0.194499,31.1750448,Transit
Kepler-630 b,,0.0302544,0.584174,161.4743937,Transit
Kepler-423 b,0.722794,1,0.038671,2.68432848,Transit
HAT-P-22 b,2.14822,2.15137,0.0414094,3.21222,Transit
51 Eri b,,,,,Imaging
WASP-123 b,0.895975,0.898458,0.0426442,2.9776412,Transit
Kepler-1374 b,,0.0173469,0.0897541,10.65276707,Transit
Kepler-1041 b,,0.0257931,0.169505,24.7576421,Transit
WASP-28 b,0.905271,0.907,0.0446486,3.40883,Transit
Kepler-221 b,,0.0126401,0.0388408,2.795906,Transit
CoRoT-7 b,0.0137858,0.014,0.0171898,0.85359163,Transit
Kepler-1418 b,,0.0123008,0.142864,22.4764425,Transit
HATS-12 b,2.35749,2.37911,0.0479738,3.1428347,Transit
gamma Lib b,1.0212,1.0212,1.23874,415.2,RV
HD 5608 b,1.47372,1.47372,1.98519,792.6,RV
Kepler-584 b,,0.0583181,0.221415,35.1810304,Transit
Kepler-733 b,,0.0240196,0.143067,20.83424726,Transit
Kepler-172 e,,0.0230631,0.209877,35.118736,Transit
Kepler-1200 b,,0.00364938,0.0190745,1.11854972,Transit
Kepler-178 b,,0.025195,0.0882572,9.576694,Transit
Kepler-1207 b,,0.0120821,0.114152,13.68237119,Transit
Kepler-147 c,,0.0188614,0.203039,33.416423,Transit
Kepler-1096 b,,0.00628541,0.0345893,2.89221751,Transit
Kepler-1491 b,,0.0121297,0.127283,16.5861762,Transit
HATS-1 b,1.85957,1.86507,0.0444708,3.446459,Transit
Kepler-1559 b,,0.00090084,0.018261,0.97191543,Transit
Kepler-378 c,,0.00082692,0.184331,28.906009,Transit
HD 80606 b,3.89024,3.89054,0.447343,111.4367,RV
Kepler-471 b,,1,0.0654845,5.01423457,Transit
Kepler-158 b,,0.0157841,0.127912,16.709184,Transit
Kepler-1511 b,,0.0124487,0.167934,23.2382792,Transit
Kepler-45 b,0.510798,0.511499,0.0298817,2.455239,Transit
Kepler-68 b,0.0187967,0.026183,0.0617749,5.398763,Transit
TRAPPIST-1 g,,0.003612,0.0466967,12.354473,Transit
Kepler-1195 b,,0.0154788,0.0737068,8.49642241,Transit
Kepler-665 b,,0.0208973,0.114939,16.01310205,Transit
Kepler-950 b,,0.305222,0.420795,98.7180406,Transit
Kepler-308 b,,0.0157841,0.0889821,9.694928,Transit
WASP-78 b,0.877779,0.883997,0.0361391,2.17517656,Transit
Kepler-108 c,,0.224011,0.647542,190.323494,Transit
HD 86264 b,6.62738,6.62738,2.84117,1475,RV
Kepler-942 b,,0.0158698,0.230681,44.96417488,Transit
Kepler-266 c,,0.0481581,0.443078,107.723601,Transit
HD 176986 c,0.0281354,0.0281354,0.118715,16.8191,RV
Kepler-1094 b,,0.0302544,0.373544,78.1000231,Transit
Kepler-1194 b,,0.0121297,0.122862,16.22371307,Transit
8 UMi b,1.52093,1.52093,0.490206,93.4,RV
Kepler-1291 b,,0.0123008,0.0776941,8.63043276,Transit
Kepler-239 c,,0.019783,0.287238,56.228098,Transit
Kepler-524 b,,0.014034,0.0803909,7.97419807,Transit
HD 82943 c,1.58936,1.58936,0.742283,219.3,RV
Kepler-205 c,,0.0121773,0.145668,20.306546,Transit
Kepler-319 b,,0.0121124,0.0522529,4.362705,Transit
Kepler-162 c,,0.0273861,0.141525,19.446355,Transit
Kepler-126 c,,0.0117926,0.153051,21.869741,Transit
HD 216536 b,1.48058,1.48058,0.608531,148.6,RV
K2-27 b,0.096608,0.096608,0.0667693,6.771315,Transit
Kepler-728 b,,0.0335331,0.0617018,5.74347727,Transit
Kepler-384 c,,0.00450004,0.248874,45.348269,Transit
Kepler-669 b,,0.0772573,0.0527424,4.12554687,Transit
Kepler-1046 b,,0.0126737,0.117226,14.37508035,Transit
iota Hor b,2.04683,2.04683,0.92376,302.8,RV
Kepler-716 b,,0.0252452,0.0874713,10.37168453,Transit
HD 37124 d,0.68665,0.68665,2.80658,1862,RV
Kepler-853 b,,0.0125233,0.0794128,7.16892463,Transit
Kepler-690 b,,0.118744,0.0793434,7.74809437,Transit
Kepler-1500 b,,0.00553813,0.119208,15.0330105,Transit
HD 113996 b,6.28868,6.28868,1.61027,610.2,RV
WASP-120 b,4.79523,4.83617,0.0515037,3.6112706,Transit
Kepler-1316 b,,0.0383032,0.392209,87.9732136,Transit
Kepler-921 b,,0.0247111,0.263744,51.300634,Transit
HD 192263 b,0.639382,0.639382,0.152945,24.3556,RV
K2-3 c,,0.0129801,0.139869,24.6454,Transit
HD 204313 b,3.50088,3.50088,3.07131,1920.1,RV
BD +03 2562 b,6.44514,6.44514,1.2589,481.9,RV
Kepler-1079 b,,0.0120821,0.112404,13.24503188,Transit
Kepler-771 b,,0.0133743,0.0838281,8.73485836,Transit
Kepler-212 c,,0.0227766,0.196459,31.805174,Transit
Kepler-53 c,,0.0299365,0.221868,38.5583038,Transit
K2-10 b,0.0866591,0.0866591,0.136979,19.3044,Transit
Kepler-707 b,,0.00796813,0.0310798,2.23749275,Transit
Kepler-1211 b,,0.0201979,0.0955953,11.01816836,Transit
Kepler-321 b,,0.0130508,0.0565776,4.915379,Transit
Kepler-1442 b,,0.0495748,0.405305,81.4162941,Transit
Kepler-402 d,,0.00893492,0.0841819,8.921099,Transit
Kepler-339 d,,0.00508144,0.0941898,10.558345,Transit
Kepler-407 b,0,0,0.0149747,0.6693109,Transit
Kepler-756 b,,0.00437411,0.0209702,1.22486632,Transit
TrES-3 b,1.87299,1.91,0.0227178,1.30619,Transit
Kepler-188 b,,0.0124398,0.0317043,2.061897,Transit
HIP 14810 b,3.87441,3.87441,0.0692271,6.673859,RV
Kepler-695 b,,0.542157,0.0387537,3.04033042,Transit
Kepler-10 c,0.0531039,0.054117,0.239656,45.29485,Transit
HD 90156 b,0.0565295,0.0565295,0.249855,49.77,RV
Kepler-786 b,,0.0188877,0.259117,53.5293487,Transit
Kepler-259 c,,0.0222169,0.217013,36.924931,Transit
Kepler-444 b,,0.000134008,0.0419153,3.6001053,Transit
Kepler-550 b,,0.0642153,0.078424,8.60010411,Transit
Kepler-304 d,,0.0229193,0.0887283,9.653471,Transit
Kepler-150 e,,0.0290307,0.192408,30.826557,Transit
Kepler-218 c,,0.029411,0.246495,44.699576,Transit
Pr 211 b,1.84394,1.84394,0.0320419,2.1451,RV
Kepler-203 b,,0.0205131,0.0421675,3.162697,Transit
GJ 3138 b,0.00576851,0.00576851,0.0196594,1.22002563,RV
Kepler-981 b,,0.0175728,0.0527478,4.46975774,Transit
Kepler-6 b,0.668332,0.669376,0.0456089,3.234723,Transit
K2-19 b,,0.228032,0.0758978,7.9194,Transit
Kepler-501 b,,0.060903,0.0626287,5.64067757,Transit
Kepler-244 d,,0.0175824,0.14444,20.050401,Transit
WASP-156 b,0.130506,0.130522,0.0452895,3.836169,Transit
24 Sex c,1.51716,1.51716,2.24032,910,RV
HIP 65407 b,0.430669,0.430669,0.176696,28.125,RV
Kepler-358 b,,0.0224946,0.20564,34.060467,Transit
Kepler-373 c,,0.00621274,0.127997,16.725948,Transit
HATS-13 b,0.542224,0.542398,0.0405861,3.0440499,Transit
Kepler-466 c,,0.00648186,0.0475122,3.70921385,Transit
Kepler-1074 b,,0.00648186,0.054174,5.94566534,Transit
Kepler-807 b,,0.564429,0.476837,117.93108781,Transit
HD 60532 c,2.46312,2.46312,1.57999,604,RV
HIP 65407 c,0.786056,0.786056,0.316151,67.3,RV
Kepler-299 b,,0.00769114,0.0400468,2.927128,Transit
Kepler-939 b,,0.0129028,0.11345,14.878296,Transit
Kepler-1389 b,,0.0130579,0.391079,99.2530951,Transit
Kepler-140 c,,0.0132614,0.396968,91.353282,Transit
Kepler-23 d,,0.0165098,0.12048,15.274299,Transit
Kepler-1048 b,,0.0120099,0.0645763,6.92101021,Transit
Kepler-89 c,,0.0295756,0.101317,10.423648,Transit
WASP-95 b,1.2034,1.13,0.0341288,2.184673,Transit
Kepler-831 b,,0.00668223,0.0616673,5.62153941,Transit
HD 68988 b,1.79992,1.79992,0.0692771,6.27711,RV
K2-136 c,,0.026078,0.118441,17.307137,Transit
Kepler-84 b,,0.0172355,0.08295,8.726,Transit
GJ 628 c,0.0108155,0.0108155,0.0889562,17.87199137,RV
Kepler-637 b,,0.0746947,0.187767,23.20584623,Transit
HAT-P-26 b,0.0586313,0.0586489,0.0478684,4.234516,Transit
Kepler-1252 b,,0.0123746,0.121659,15.0540329,Transit
Kepler-292 f,,0.0179955,0.148181,20.834237,Transit
Kepler-847 b,,0.00518721,0.0324471,2.3432319,Transit
Kepler-1355 b,,0.0107116,0.0222195,1.28958811,Transit
Kepler-20 e,,0.00175601,0.063351,6.098493,Transit
Kepler-450 b,,,0.2014,28.454851,Transit
Kepler-296 d,,0.0172808,0.143477,19.850242,Transit
HD 149143 b,1.32811,1.32811,0.0530508,4.072,RV
Kepler-688 b,,0.696016,0.0481308,3.89593684,Transit
Kepler-62 d,,0,0.119499,18.16406,Transit
Kepler-713 b,,0.019398,0.0738933,7.411141,Transit
HD 79498 b,1.34632,1.34632,3.13296,1966.1,RV
GJ 273 d,0.0448185,0.0448185,0.730436,423.3821719,RV
Kepler-89 e,0.0986881,0.0409024,0.304548,54.32031,Transit
HATS-22 b,2.73841,2.74014,0.0503097,4.7228124,Transit
Kepler-722 b,,0.0213319,0.0505771,4.09357325,Transit
Kepler-556 b,,0.0169068,0.100994,11.72292176,Transit
Kepler-883 b,,0.0131362,0.110239,12.98495573,Transit
Kepler-1181 b,,0.0117248,0.0594394,4.89337519,Transit
Kepler-1336 c,,0.0126737,0.061725,5.77721211,Transit
Kepler-897 b,,0.0183949,0.079369,8.0472642,Transit
Kepler-298 d,,0.0196646,0.355666,77.473633,Transit
Kepler-269 b,,0.019315,0.0596916,5.326718,Transit
Kepler-248 b,,0.0272098,0.0668155,6.308205,Transit
HD 181433 c,0.640416,0.640416,1.75604,962,RV
Kepler-1375 b,,0.0128259,0.0493278,3.3004192,Transit
Kepler-454 b,0.0215581,0.0215859,0.0951314,10.57,Transit
70 Vir b,7.46144,7.46144,0.483601,116.6884,RV
HD 102365 b,0.0509774,0.0509774,0.463328,122.1,RV
BD -08 2823 b,0.045941,0.045941,0.0558236,5.6,RV
Kepler-1276 b,,0.0053608,0.110538,12.5720095,Transit
Kepler-797 b,,0.0162741,0.174066,27.07237711,Transit
HD 47366 b,1.74615,1.74615,1.21472,363.3,RV
Kepler-160 b,,0.0115417,0.0518266,4.309427,Transit
Kepler-1066 b,,0.0181548,0.03015,1.93155984,Transit
Kepler-1318 b,,0.028747,0.629,213.257663,Transit
CoRoT-11 b,2.33146,2.34813,0.0440549,2.99433,Transit
Kepler-369 c,,0.00960182,0.118353,14.871572,Transit
Kepler-142 d,,0.0161415,0.235751,41.809118,Transit
Kepler-1415 b,,0.00709482,0.0139284,0.63642408,Transit
Kepler-398 b,,0.00225059,0.0499821,4.081423,Transit
Kepler-443 b,,0.0177875,0.558942,177.6693,Transit
HD 175607 b,0.0262555,0.0262555,0.164916,29.03,RV
Kepler-746 b,,0.00422224,0.0435651,3.48159251,Transit
Kepler-1348 b,,0.0142915,0.180967,27.5722742,Transit
Kepler-299 d,,0.0136944,0.119323,15.054786,Transit
GJ 436 b,0.0725512,0.0726979,0.0287188,2.64385,RV
KELT-18 b,,1,0.0457595,2.8717518,Transit
Kepler-1231 b,,0.00991268,0.0936589,10.41725184,Transit
Kepler-142 c,,0.0245625,0.0553921,4.761702,Transit
Kepler-401 d,,0.0172355,0,184.256405,Transit
Kepler-815 b,,0.055479,0.0883216,8.57503552,Transit
Kepler-578 b,,0.0147338,0.0257374,1.6168837,Transit
Kepler-181 c,,0.014692,0.0517683,4.302149,Transit
XO-2S b,0.259,0.259,0.134393,18.157,RV
Kepler-364 b,,0.011604,0.170638,25.745718,Transit
Kepler-173 c,,0.0188614,0.0783205,8.005777,Transit
Kepler-609 b,,0.0337813,0.070302,6.52121067,Transit
Kepler-1606 b,,0.015383,0.638509,196.435224,Transit
Kepler-290 b,,0.0169862,0.11685,14.589347,Transit
Kepler-926 b,,0.0175728,0.273799,52.0688601,Transit
Kepler-544 b,,0.0157709,0.158582,21.41616926,Transit
HATS-36 b,3.2196,3.22241,0.0542977,4.1752387,Transit
WASP-37 b,1.79324,1.79362,0.0446312,3.577469,Transit
Kepler-223 c,,0.0147725,0.0899174,9.848183,Transit
HD 6718 b,1.5591,1.5591,3.55427,2496,RV
Kepler-224 e,,0.0145328,0.137602,18.643577,Transit
Kepler-322 c,,0.0123736,0.0520493,4.337234,Transit
HD 33636 b,9.26951,9.26951,3.26519,2127.7,RV
Kepler-477 b,,0.015383,0.093078,11.11990653,Transit
Kepler-1327 b,,0.0132944,0.119224,14.88801098,Transit
V830 Tau b,0.569537,0.695276,0.056677,4.927,RV
Kepler-163 c,,0.0170837,0.150603,21.347262,Transit
Kepler-1128 b,,0.0412428,0.29908,61.6178167,Transit
HAT-P-40 b,0.619927,0.6202,0.060845,4.457243,Transit
HD 240237 b,5.31949,5.31949,1.91887,745.7,RV
Kepler-494 b,,0.218701,0.0809789,8.02511821,Transit
Kepler-169 f,,0.0206381,0.38452,87.090195,Transit
Kepler-283 b,,0.0158724,0.0968462,11.008151,Transit
rho CrB b,1.06409,1.06409,0.225692,39.8449,RV
Kepler-214 b,,0.0210192,0.122502,15.660544,Transit
Kepler-700 b,,0.12013,0.363536,80.8720639,Transit
Kepler-1549 b,,0.020474,0.672832,214.886545,Transit
Kepler-730 b,,0.542157,0.0681049,6.49168426,Transit
Kepler-1515 b,,0.383964,0.764923,214.3114164,Transit
Kepler-1424 b,,0.00485109,0.188549,29.6091744,Transit
Kepler-314 b,,0.00150361,0.0356743,2.461069,Transit
Kepler-188 c,,0.0303861,0.0645963,5.996553,Transit
Kepler-731 b,,1,0.0485975,3.85560355,Transit
Kepler-1338 b,,0.00215846,0.018961,0.93511806,Transit
Kepler-233 b,,0.0188614,0.0813349,8.472382,Transit
Kepler-1530 c,,0.0122275,0.0580264,5.3227406,Transit
Kepler-118 b,,0.014454,0.0751093,7.518496,Transit
Kepler-1440 b,,0.00648186,0.226831,39.859484,Transit
Kepler-65 c,,0.0214237,0.0685234,5.859944,Transit
Kepler-1513 b,,0.249782,0.576981,160.88465087,Transit
Kepler-110 b,,0.013476,0.106481,12.691112,Transit
HD 11977 b,7.40012,7.40012,2.063,711,RV
Kepler-1192 b,,0.0181548,0.159985,25.2034787,Transit
Kepler-1382 b,,0.0138656,0.139726,16.3583055,Transit
HD 73534 b,1.06828,1.06828,3.0184,1770,RV
Kepler-689 b,,0.0250657,0.150552,22.36656079,Transit
Kepler-1643 b,,0.0174594,0.058171,5.34264507,Transit
Kepler-195 b,,0.0150172,0.0802786,8.307872,Transit
Kepler-498 b,,0.027323,0.0878909,9.61375356,Transit
Kepler-50 c,,0.0234642,0.0932375,9.3761368,Transit
Kepler-863 b,,0.0252452,0.120507,15.59461874,Transit
Kepler-1464 b,,0.0123008,0.19765,31.7785901,Transit
HD 164604 b,2.6885,2.6885,1.30299,606.4,RV
Kepler-1356 b,,0.0124263,0.0135188,0.63400294,Transit
Kepler-359 b,,0.0380002,0.169831,25.563222,Transit
TRAPPIST-1 b,,0.0032,0.0115051,1.51087637,Transit
HATS-24 b,2.45019,2.45451,0.0254851,1.3484954,Transit
HD 215152 d,0.00881646,0.00881646,0.087995,10.86499,RV
Kepler-1201 b,,0.0173469,0.125745,15.18725932,Transit
HIP 63242 b,,,0.563801,124.6,RV
Kepler-1594 b,,0.00364938,0.0388448,2.71603809,Transit
Kepler-642 b,,0.0252452,0.0589428,4.41745855,Transit
Kepler-359 d,,0.0520795,0.354508,77.095691,Transit
WASP-142 b,0.82467,0.836882,0.034771,2.052868,Transit
Kepler-115 b,,0.00396389,0.0351175,2.403679,Transit
OGLE-05-071L b,,3.8,3.54863,3600,Microlensing
OGLE235-MOA53 b,,2.6,,,Microlensing
HD 37124 c,0.648109,0.648109,1.70993,885.5,RV
HD 217107 c,2.61546,2.61546,5.33414,4270,RV
Kepler-1323 b,,0.0124263,0.0197027,0.92990668,Transit
HD 74156 b,1.77342,1.77342,0.291535,51.638,RV
Kepler-928 b,,0.0118667,0.0439026,3.9324613,Transit
Kepler-180 b,,0.0117855,0.11269,13.817124,Transit
HD 103774 b,0.368054,0.368054,0.070273,5.8881,RV
Kepler-43 b,3.21573,3.23143,0.0449294,3.024095,Transit
Kepler-76 b,,2.01,0.0278077,1.5449298,Transit
Kepler-310 b,,0.00538981,0.113307,13.930698,Transit
Kepler-222 c,,0.0710944,0.0913762,10.08881,Transit
Kepler-1154 c,,0.0181548,0.0877495,8.45808312,Transit
Kepler-538 b,,0.017125,0.363618,81.73780699,Transit
KELT-6 b,0.431127,0.43122,0.0794132,7.8457,Transit
WASP-13 b,0.472376,0.473883,0.0537034,4.3530135,Transit
Kepler-683 b,,0.0145548,0.035933,2.53918318,Transit
Kepler-84 c,,0.096,0.107552,12.883,Transit
Kepler-918 b,,0.0128259,0.0580906,4.85386933,Transit
Kepler-569 b,,0.029815,0.202661,34.18890521,Transit
HD 13931 b,1.88123,1.88123,5.14931,4218,RV
Kepler-58 d,,0.0258466,0.229287,40.101371,Transit
HAT-P-18 b,0.197162,0.197205,0.0559503,5.508023,Transit
Kepler-672 b,,0.01966,0.218893,38.3774623,Transit
Kepler-357 b,,0.0135483,0.0679912,6.475434,Transit
Kepler-1518 b,,0.0277215,0.0670648,5.11177904,Transit
Kepler-971 b,,0.0158698,0.084658,9.59070716,Transit
K2-18 c,0.0239033,0.0239033,0.0600137,8.962,RV
Kepler-406 c,0.00857506,0.00857506,0.0555527,4.62332,Transit
HD 155358 c,0.807031,0.807031,1.00082,391.9,RV
WASP-43 b,1.7613,1.77609,0.0142363,0.813475,Transit
Kepler-1570 b,,0.00364938,0.169395,26.548955,Transit
Kepler-159 c,,0.0351084,0.242421,43.595792,Transit
Kepler-39 b,18.1767,18.1805,0.155007,21.0874,Transit
Kepler-920 c,,0.0453941,0.407808,100.8274113,Transit
14 And b,4.68383,4.68383,0.823151,185.84,RV
Kepler-1130 b,,0.00129651,0.0585387,5.45298175,Transit
Kepler-520 b,,0.0123008,0.147232,19.67416124,Transit
Kepler-1191 b,,0.0121297,0.0584627,5.60014851,Transit
Kepler-1012 b,,0.00709482,0.0600079,5.50860439,Transit
Kepler-1145 b,,0.00940137,0.0453661,3.97076766,Transit
Kepler-891 b,,0.11109,0.283142,53.44945593,Transit
Kepler-727 b,,0.0200617,0.0561729,5.15448442,Transit
Kepler-215 b,,0.0120479,0.086925,9.360672,Transit
Kepler-294 b,,0.0130508,0.0468277,3.701212,Transit
WASP-88 b,0.563202,0.563545,0.0643804,4.954,Transit
GJ 3138 c,0.0130611,0.0130611,0.056688,5.97377468,RV
GJ 3998 c,0.0197987,0.0197987,0.08911,13.74,RV
Kepler-29 b,,0.0397121,0.0928723,10.3376,Transit
Kepler-792 b,,0.0144664,0.10143,11.30119217,Transit
Kepler-975 b,,0.0112658,0.0285538,1.97034246,Transit
Kepler-24 b,,0.0185071,0.0800144,8.14561,Transit
Kepler-542 b,,0.0117248,0.1064,13.14497566,Transit
Kepler-306 b,,0.0123086,0.0544926,4.646186,Transit
Kepler-656 b,,0.0289572,0.0217143,1.26025909,Transit
Kepler-83 b,,0.0240196,0.0778725,9.77,Transit
Kepler-770 b,,0.0174594,0.136148,18.92540274,Transit
Kepler-489 b,,0.18782,0.122418,17.27629612,Transit
81 Cet b,4.31096,4.31096,2.28088,952.7,RV
Kepler-1204 b,,0.0277215,0.384289,85.7350285,Transit
Kepler-1218 b,,0.0101747,0.161019,22.9221266,Transit
Kepler-1043 b,,0.0201979,0.217045,38.5053398,Transit
Kepler-1396 b,,0.015383,0.1432,18.2206421,Transit
CoRoT-3 b,21.799,21.8549,0.0573788,4.2568,Transit
Kepler-377 b,,0.00915403,0.105463,12.509529,Transit
Kepler-648 b,,0.0309268,0.133676,17.4211749,Transit
K2-12 b,,0.0170169,0.080381,8.28246,Transit
Kepler-910 b,,0.00142986,0.0375152,2.36436901,Transit
Kepler-126 d,,0.0196646,0.422434,100.283134,Transit
Kepler-91 b,0.758053,0.808359,0.0726449,6.24658,Transit
Kepler-1506 b,,0.00774372,0.11193,14.0329154,Transit
HAT-P-38 b,0.267451,0.267569,0.0522992,4.640382,Transit
Kepler-1602 b,,0.00819664,0.104553,11.17931605,Transit
Kepler-18 d,,0.0516,0.117171,14.85888,Transit
Kepler-1077 b,,0.0231879,0.208178,34.3511874,Transit
Kepler-380 b,,0.00538981,0.0487448,3.930821,Transit
Kepler-1580 b,,0.0156727,0.328211,56.6449279,Transit
HD 32963 b,0.7,0.7,3.5161,2372,RV
Kepler-132 d,,0.011604,0.134468,18.010199,Transit
Kepler-228 b,,0.0125754,0.0366865,2.566546,Transit
mu Ara e,0.543322,0.543322,0.93961,310.54999,RV
Kepler-97 b,0.0106941,0.0106941,0.036125,2.58664,Transit
WASP-96 b,0.478203,0.48,0.0453489,3.4252602,Transit
EPIC 211945201 b,0.0842876,0.0843442,0.14979,19.49213,Transit
Kepler-1229 b,,0.00940137,0.312498,86.828989,Transit
Kepler-518 b,,0.0156727,0.0804858,8.51203588,Transit
Kepler-139 b,,0.0258466,0.123078,15.771044,Transit
Kepler-952 b,,0.182193,0.503142,130.3546919,Transit
Kepler-375 b,,0.010538,0.103296,12.125934,Transit
Kepler-1285 b,,0.00266535,0.125346,14.7967458,Transit
HD 136118 b,11.6809,11.6809,2.33328,1187.3,RV
Kepler-182 b,,0.0206381,0.0897811,9.825792,Transit
Kepler-1313 b,,0.0129801,0.0466196,3.83309118,Transit
HD 6434 b,0.397195,0.397195,0.142061,21.997999,RV
HD 5319 b,1.76545,1.76545,1.6698,641,RV
Kepler-306 e,,0.0171819,0.247015,44.840975,Transit
Kepler-1519 b,,0.144903,0.742026,240.7989397,Transit
Kepler-253 b,,0.0121124,0.0475233,3.783986,Transit
WASP-151 b,0.316639,0.31667,0.0549549,4.533471,Transit
Kepler-259 b,,0.0236491,0.0790333,8.115317,Transit
Kepler-1586 b,,0.0124263,0.138326,15.6049212,Transit
Kepler-1172 b,,0.0304768,0.167139,26.0204423,Transit
Kepler-1501 b,,0.0116544,0.123985,14.5564533,Transit
HD 231701 b,1.08667,1.08667,0.555583,141.60001,RV
Kepler-666 b,,0.0185165,0.0538618,4.49876092,Transit
PH-2 b,,0.488198,0.825444,282.5255,Transit
Kepler-1027 b,,0.00189081,0.0291727,1.9078052,Transit
CoRoT-18 b,3.48002,3.48652,0.0295483,1.9000693,Transit
Kepler-703 b,,0.349418,0.0570646,4.58352176,Transit
Kepler-1505 b,,0.00225358,0.187949,30.8609366,Transit
Kepler-203 d,,0.0102988,0.0987232,11.32972,Transit
HD 75898 b,2.51504,2.51504,1.18906,418.20001,RV
HATS-25 b,0.612201,0.613081,0.0516466,4.2986432,Transit
Kepler-776 b,,0.00688654,0.0530392,4.89718784,Transit
Kepler-876 b,,0.0101747,0.0543655,5.14438011,Transit
Kepler-224 b,,0.00915403,0.0419025,3.132924,Transit
Kepler-1459 b,,0.00842926,0.284837,62.8691611,Transit
Kepler-710 b,,0.0138656,0.0510655,4.34728553,Transit
Kepler-806 b,,0.00468851,0.0786193,8.09219642,Transit
Kepler-205 b,,0.0120453,0.038467,2.75564,Transit
WASP-114 b,1.75851,1.76833,0.0285236,1.5487743,Transit
KOI-4427 b,,0.0135484,0.441345,147.6606,Transit
Kepler-612 b,,0.0241903,0.0466887,3.72215641,Transit
MOA-2008-BLG-310L b,,0.23,,,Microlensing
KIC 11442793 g,,0.217563,0.736177,210.60697,Transit
GJ 1214 b,0.0203507,0.0203507,0.0143253,1.58040482,Transit
Kepler-824 b,,0.0137822,0.0560063,4.51436633,Transit
Kepler-1451 b,,0.0337813,0.211879,35.622233,Transit
Kepler-268 c,,0.0344212,0.373719,83.446393,Transit
Kepler-135 c,,0.00493175,0.0994132,11.448708,Transit
Kepler-265 c,,0.0212781,0.129538,17.028937,Transit
Kepler-1296 b,,0.00206633,0.0771045,8.3839865,Transit
Kepler-1480 b,,0.0123746,0.146114,22.12679948,Transit
Kepler-620 b,,0.0330424,0.11286,12.91375431,Transit
HD 164595 b,0.0507844,0.0507844,0.228139,40,RV
16 Cyg B b,1.63997,1.63997,1.66027,798.5,RV
HAT-P-25 b,0.566683,0.567181,0.0465813,3.652836,Transit
Kepler-341 e,,0.014692,0.238241,42.473269,Transit
HD 213240 b,4.53249,4.53249,1.88529,882.7,RV
Kepler-1577 b,,0.00452953,0.0614878,6.30560247,Transit
Kepler-1409 b,,0.00338324,0.0153823,0.76486493,Transit
Kepler-1352 b,,0.00189081,0.0308432,1.87788275,Transit
Kepler-1249 b,,0.0182743,0.174156,24.3347127,Transit
Kepler-1269 b,,0.0120821,0.225667,37.3331536,Transit
HAT-P-45 b,0.893809,0.892,0.0452185,3.128992,Transit
HD 221585 b,1.61483,1.61483,2.30768,1173,RV
Kepler-399 b,,0.00252018,0.115973,14.425281,Transit
Kepler-341 c,,0.012573,0.0783507,8.01041,Transit
Kepler-925 b,,0.017919,0.187771,33.8678531,Transit
Kepler-265 d,,0.0195472,0.240693,43.130617,Transit
Kepler-677 b,,0.0964436,0.0686885,6.57531678,Transit
HD 33844 b,1.96,1.96,1.59543,551.4,RV
HATS-32 b,0.917665,0.918842,0.040253,2.8126548,Transit
Kepler-243 c,,0.014692,0.144324,20.026218,Transit
