NAME,MSINI,MASS,A,PER,PLANETDISCMETH
HD 142415 b,1.66194,1.66194,1.06061,386.29999,RV
Kepler-1359 b,,0.0240196,0.274559,59.4970952,Transit
Kepler-785 b,,1,0.0282249,1.97376093,Transit
CoRoT-9 b,0.843564,0.843564,0.406991,95.2738,Transit
HD 114386 b,1.3637,1.3637,1.72685,937.70001,RV
HD 103197 b,0.0982431,0.0982431,0.249018,47.84,RV
Kepler-698 b,,0.0418568,0.123396,16.32976218,Transit
Kepler-1022 b,,0.0181548,0.0863273,10.99469878,Transit
7 CMa b,2.43233,2.43233,1.80264,763,RV
K2-3 b,,0.0163773,0.0769351,10.05403,Transit
Kepler-368 b,,0.0318107,0.175473,26.84768,Transit
Kepler-913 b,,0.015288,0.0794059,10.29672521,Transit
Kepler-1224 b,,0.00796813,0.116229,13.32351601,Transit
Kepler-335 b,,0.0346488,0.0685981,6.562331,Transit
WASP-16 b,0.839364,0.842294,0.0417858,3.1186009,Transit
Kepler-316 b,,0.00359062,0.0335097,2.240508,Transit
HD 152581 b,1.51375,1.51375,1.48938,689,RV
KIC 11442793 h,,0.937417,0.996347,331.60059,Transit
Kepler-103 b,0.030444,0.0305195,0.127704,15.9654,Transit
Kepler-1426 b,,0.0116544,0.115827,14.2563227,Transit
Kepler-993 b,,0.0263549,0.127733,22.08557563,Transit
Kepler-338 b,,0.0189734,0.112199,13.726976,Transit
Kepler-1588 b,,0.00111394,0.0762521,7.84931739,Transit
Kepler-985 b,,0.0265453,0.451946,116.331901,Transit
HATS-31 b,0.885819,0.889203,0.0477869,3.37796,Transit
WASP-167 b,,1,0.0359649,2.0219596,Transit
Kepler-974 b,,0.0117248,0.0409318,4.19449651,Transit
Kepler-1248 b,,0.00518721,0.0796726,7.46725407,Transit
Kepler-129 b,,0.0182069,0.123186,15.79186,Transit
Kepler-1331 b,,0.00351465,0.0149794,0.78916165,Transit
PH-1 b,,0.100437,0.629412,138.506,Transit
Kepler-306 d,,0.019315,0.131044,17.326644,Transit
Kepler-37 d,0.0057744,0.00577478,0.212021,39.792187,Transit
Kepler-856 b,,0.564251,0.0774029,8.02768059,Transit
HD 13908 c,5.13,5.13,2.03386,931,RV
HD 125595 b,0.0416764,0.0416764,0.0809437,9.6737,RV
Kepler-1499 b,,0.0053608,0.228998,44.2008,Transit
WASP-79 b,0.884655,0.887514,0.0534741,3.6623817,Transit
Kepler-1470 b,,0.00364938,0.116773,16.2950903,Transit
Kepler-107 b,,0.0116666,0.0423212,3.179997,Transit
Kepler-1040 b,,0.0154788,0.667299,201.1214,Transit
Kepler-1542 c,,0.000639382,0.0389169,2.89223021,Transit
GJ 9827 b,0.010754,0.0107839,0.0188775,1.2089802,Transit
Kepler-109 c,,0.0199023,0.151991,21.2227,Transit
HIP 57274 c,0.410096,0.410096,0.177758,32.03,RV
Kepler-30 d,,0.0726872,0.534239,143.343,Transit
Kepler-1349 b,,0.000806332,0.034023,2.12823928,Transit
Kepler-877 b,,0.0157709,0.129482,18.45847097,Transit
Kepler-720 b,,0.381266,0.0540454,4.70832654,Transit
Kepler-932 b,,0.00866602,0.0288756,1.9214374,Transit
Kepler-1628 b,,0.112141,0.288651,76.378033,Transit
Kepler-158 c,,0.0139923,0.18282,28.551383,Transit
Kepler-145 c,,,0.263015,42.882,Transit
Kepler-858 b,,0.0783692,0.346809,76.13602028,Transit
Kepler-777 b,,0.0109866,0.0522506,5.72812599,Transit
HD 93083 b,0.368176,0.368176,0.476549,143.58,RV
Kepler-970 b,,0.0231879,0.113697,16.73652231,Transit
HD 31253 b,0.501427,0.501427,1.26054,466,RV
Kepler-1579 b,,0.00157306,0.0159542,0.84990789,Transit
Kepler-191 d,,0.0172355,0.0608391,5.94504102,Transit
Kepler-357 c,,0.0218083,0.128672,16.85837,Transit
Kepler-861 b,,0.0172355,0.0457701,3.94963138,Transit
Kepler-1258 b,,0.00172655,0.0193089,0.98494017,Transit
TRAPPIST-1 c,,0.003637,0.0157578,2.42180746,Transit
Kepler-552 b,,0.0499388,0.0598041,5.26341577,Transit
WASP-129 b,0.970133,0.970915,0.0628192,5.748145,Transit
HD 89744 b,8.18778,8.18778,0.902604,256.78,RV
Kepler-1441 b,,0.00752338,0.226767,39.4419839,Transit
Kepler-1341 b,,0.0267373,0.471386,132.9968322,Transit
Kepler-738 b,,0.01966,0.157366,24.58721573,Transit
HD 564 b,0.331101,0.331101,1.20425,492.3,RV
HD 72892 b,4.91277,4.91277,0.228745,39.475,RV
HD 183263 c,3.47646,3.47646,4.29488,3066,RV
WASP-42 b,0.496749,0.496968,0.0547344,4.9816877,Transit
Kepler-1612 b,,0.00325512,0.047981,3.91795101,Transit
Kepler-885 b,,0.01966,0.143843,18.11472949,Transit
Kepler-53 d,,0.0157841,0.0893308,9.751962,Transit
Kepler-48 b,0.0123287,0.0123966,0.0532027,4.778,Transit
Kepler-1614 b,,0.0115494,0.045182,3.9466141,Transit
HD 192310 c,0.0736073,0.0736073,1.18358,525.8,RV
HD 1690 b,6.52644,6.52644,1.36191,533,RV
HAT-P-41 b,0.799609,0.800254,0.0425775,2.694047,Transit
Kepler-1493 b,,0.00965491,0.121485,15.0217983,Transit
Kepler-42 c,,0.000954523,0.00585017,0.45328509,Transit
