week,status,age,deaths,pop,percent_of_age_group,mortality_rate_per_100k
2021-05-21,Unvaccinated,10-59,6.0,13039777.0,47.9,0.0
2021-05-21,Unvaccinated,60-69,4.0,303388.0,5.8,1.3
2021-05-21,Unvaccinated,70-79,3.0,141892.0,3.3,2.1
2021-05-21,Unvaccinated,80+,5.0,76754.0,3.1,6.5
2021-05-28,Unvaccinated,10-59,5.0,12323898.0,45.3,0.0
2021-05-28,Unvaccinated,60-69,4.0,298211.0,5.7,1.3
2021-05-28,Unvaccinated,70-79,4.0,140124.0,3.3,2.9
2021-05-28,Unvaccinated,80+,2.0,75675.0,3.0,
2021-06-04,Unvaccinated,10-59,4.0,11832842.0,43.5,0.0
2021-06-04,Unvaccinated,60-69,6.0,295044.0,5.6,2.0
2021-06-04,Unvaccinated,70-79,4.0,139165.0,3.2,2.9
2021-06-04,Unvaccinated,80+,4.0,75045.0,3.0,5.3
2021-06-11,Unvaccinated,10-59,10.0,11238256.0,41.4,0.1
2021-06-11,Unvaccinated,60-69,5.0,291940.0,5.5,1.7
2021-06-11,Unvaccinated,70-79,4.0,137950.0,3.2,2.9
2021-06-11,Unvaccinated,80+,2.0,74229.0,2.9,
2021-06-18,Unvaccinated,10-59,5.0,10455101.0,38.5,0.0
2021-06-18,Unvaccinated,60-69,5.0,289072.0,5.5,1.7
2021-06-18,Unvaccinated,70-79,1.0,136806.0,3.2,
2021-06-18,Unvaccinated,80+,2.0,73470.0,2.9,
2021-06-25,Unvaccinated,10-59,10.0,9611379.0,35.4,0.1
2021-06-25,Unvaccinated,60-69,7.0,286381.0,5.4,2.4
2021-06-25,Unvaccinated,70-79,4.0,135901.0,3.2,2.9
2021-06-25,Unvaccinated,80+,6.0,72889.0,2.9,8.2
2021-07-02,Unvaccinated,10-59,17.0,9019417.0,33.3,0.2
2021-07-02,Unvaccinated,60-69,6.0,283776.0,5.4,2.1
2021-07-02,Unvaccinated,70-79,5.0,135076.0,3.1,3.7
2021-07-02,Unvaccinated,80+,9.0,72342.0,2.9,12.4
2021-07-09,Unvaccinated,10-59,15.0,8666472.0,32.0,0.2
2021-07-09,Unvaccinated,60-69,5.0,281585.0,5.3,1.8
2021-07-09,Unvaccinated,70-79,8.0,134378.0,3.1,6.0
2021-07-09,Unvaccinated,80+,9.0,71917.0,2.9,12.5
2021-07-16,Unvaccinated,10-59,20.0,8453594.0,31.2,0.2
2021-07-16,Unvaccinated,60-69,10.0,279739.0,5.3,3.6
2021-07-16,Unvaccinated,70-79,8.0,133710.0,3.1,6.0
2021-07-16,Unvaccinated,80+,17.0,71529.0,2.8,23.8
2021-07-23,Unvaccinated,10-59,29.0,8297537.0,30.6,0.3
2021-07-23,Unvaccinated,60-69,21.0,278102.0,5.3,7.6
2021-07-23,Unvaccinated,70-79,14.0,133179.0,3.1,10.5
2021-07-23,Unvaccinated,80+,28.0,71144.0,2.8,39.4
2021-07-30,Unvaccinated,10-59,31.0,8177953.0,30.2,0.4
2021-07-30,Unvaccinated,60-69,29.0,276769.0,5.2,10.5
2021-07-30,Unvaccinated,70-79,30.0,132742.0,3.1,22.6
2021-07-30,Unvaccinated,80+,25.0,70803.0,2.8,35.3
2021-08-06,Unvaccinated,10-59,49.0,8075195.0,29.8,0.6
2021-08-06,Unvaccinated,60-69,33.0,275641.0,5.2,12.0
2021-08-06,Unvaccinated,70-79,21.0,132388.0,3.1,15.9
2021-08-06,Unvaccinated,80+,31.0,70501.0,2.8,44.0
2021-08-13,Unvaccinated,10-59,34.0,7950971.0,29.4,0.4
2021-08-13,Unvaccinated,60-69,25.0,274540.0,5.2,9.1
2021-08-13,Unvaccinated,70-79,16.0,132040.0,3.1,12.1
2021-08-13,Unvaccinated,80+,30.0,70228.0,2.8,42.7
2021-08-20,Unvaccinated,10-59,38.0,7766772.0,28.7,0.5
2021-08-20,Unvaccinated,60-69,27.0,273609.0,5.2,9.9
2021-08-20,Unvaccinated,70-79,29.0,131779.0,3.0,22.0
2021-08-20,Unvaccinated,80+,29.0,69996.0,2.8,41.4
2021-08-27,Unvaccinated,10-59,42.0,7542599.0,27.9,0.6
2021-08-27,Unvaccinated,60-69,25.0,272682.0,5.1,9.2
2021-08-27,Unvaccinated,70-79,28.0,131503.0,3.0,21.3
2021-08-27,Unvaccinated,80+,42.0,69745.0,2.8,60.2
2021-09-03,Unvaccinated,10-59,31.0,7404803.0,27.4,0.4
2021-09-03,Unvaccinated,60-69,25.0,272148.0,5.1,9.2
2021-09-03,Unvaccinated,70-79,32.0,131334.0,3.0,24.4
2021-09-03,Unvaccinated,80+,34.0,69573.0,2.8,48.9
2021-09-10,Unvaccinated,10-59,34.0,7312771.0,27.1,0.5
2021-09-10,Unvaccinated,60-69,29.0,271550.0,5.1,10.7
2021-09-10,Unvaccinated,70-79,31.0,131158.0,3.0,23.6
2021-09-10,Unvaccinated,80+,42.0,69366.0,2.7,60.5
2021-09-17,Unvaccinated,10-59,33.0,7241928.0,26.8,0.5
2021-09-17,Unvaccinated,60-69,24.0,270878.0,5.1,8.9
2021-09-17,Unvaccinated,70-79,28.0,130991.0,3.0,21.4
2021-09-17,Unvaccinated,80+,32.0,69200.0,2.7,46.2
2021-09-24,Unvaccinated,10-59,28.0,7167322.0,26.6,0.4
